"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"27-Aug-2021","EQ","48.85","49.40","48.15","48.60","49.00","49.00","48.86","58.00","31.35",645363,"31,533,593.35",2698
"26-Aug-2021","EQ","47.50","49.00","47.25","47.50","48.50","48.60","48.15","58.00","31.35",887935,"42,758,157.65",3357
"25-Aug-2021","EQ","48.00","48.65","47.25","47.75","47.40","47.50","48.03","58.00","31.35",490775,"23,572,706.65",2577
"24-Aug-2021","EQ","47.05","49.25","47.05","47.45","47.80","47.75","47.95","58.00","31.35",817123,"39,181,695.40",4724
"23-Aug-2021","EQ","49.10","50.00","46.70","48.90","47.05","47.45","47.50","58.00","31.35",1200945,"57,045,259.55",5285
"20-Aug-2021","EQ","49.30","50.65","48.30","50.75","49.00","48.90","49.23","58.00","31.35",1508104,"74,241,599.00",5194
"18-Aug-2021","EQ","48.75","51.70","48.50","49.05","50.55","50.75","49.91","58.00","31.35",1429814,"71,365,487.10",4848
"17-Aug-2021","EQ","48.60","50.10","48.05","48.50","49.10","49.05","48.91","58.00","31.35",1225501,"59,941,879.75",4880
"16-Aug-2021","EQ","50.25","50.25","48.15","50.00","48.55","48.50","48.82","58.00","31.35",928650,"45,333,333.40",3922
"13-Aug-2021","EQ","50.75","51.20","49.25","50.60","50.10","50.00","50.35","58.00","31.35",1027681,"51,742,271.15",4671
"12-Aug-2021","EQ","50.50","52.60","50.15","50.35","50.50","50.60","51.39","58.00","31.35",2314948,"118,973,364.30",6210
"11-Aug-2021","EQ","50.45","50.95","48.05","50.00","50.20","50.35","49.69","58.00","31.35",1878779,"93,357,264.65",7288
"10-Aug-2021","EQ","50.50","54.15","49.30","51.60","49.80","50.00","52.18","58.00","31.35",6114206,"319,034,281.90",19952
"09-Aug-2021","EQ","48.30","53.00","47.70","48.00","51.55","51.60","51.41","58.00","31.35",4881399,"250,966,369.90",17294
"06-Aug-2021","EQ","48.15","49.05","47.75","48.15","47.95","48.00","48.50","58.00","31.35",443068,"21,490,333.90",2287
"05-Aug-2021","EQ","48.75","49.25","47.95","49.15","48.05","48.15","48.35","58.00","31.35",865875,"41,864,416.80",4064
"04-Aug-2021","EQ","51.00","51.15","48.15","50.70","49.10","49.15","49.55","58.00","31.35",1107884,"54,891,321.10",3773
"03-Aug-2021","EQ","50.00","52.25","49.70","50.05","50.70","50.70","50.64","58.00","31.35",1370761,"69,416,375.55",4441
"02-Aug-2021","EQ","49.70","50.45","49.45","50.00","50.05","50.05","49.92","58.00","31.35",903410,"45,102,744.05",3977
"30-Jul-2021","EQ","50.65","51.15","49.80","50.45","50.15","50.00","50.37","58.00","31.35",1268758,"63,912,158.70",4948
"29-Jul-2021","EQ","49.05","50.90","46.00","50.25","50.50","50.45","49.68","58.00","31.35",1818739,"90,347,764.75",5030
"28-Jul-2021","EQ","50.40","50.70","48.80","50.10","50.45","50.25","49.72","58.00","31.35",1349230,"67,079,207.05",4589
"27-Jul-2021","EQ","49.60","50.40","49.50","49.70","50.20","50.10","49.95","58.00","31.35",1113606,"55,623,176.95",3133
"26-Jul-2021","EQ","50.40","50.75","49.00","50.05","49.00","49.70","50.01","58.00","31.35",1187584,"59,386,115.90",3637
"23-Jul-2021","EQ","51.50","51.55","49.80","51.05","50.20","50.05","50.33","58.00","31.35",1252110,"63,021,645.40",3945
"22-Jul-2021","EQ","52.80","53.50","50.80","50.05","51.10","51.05","51.86","58.00","31.35",2703700,"140,218,679.55",9155
"20-Jul-2021","EQ","51.10","51.90","49.50","51.45","50.20","50.05","50.60","58.00","31.35",1463685,"74,066,242.75",5318
"19-Jul-2021","EQ","51.15","52.15","50.90","51.45","51.55","51.45","51.55","58.00","31.35",1071027,"55,210,356.95",3979
"16-Jul-2021","EQ","52.40","52.60","50.80","52.00","51.50","51.45","51.84","58.00","31.35",1430946,"74,178,281.00",4840
"15-Jul-2021","EQ","51.65","52.70","51.20","51.30","52.05","52.00","51.90","58.00","31.35",1556579,"80,779,094.25",5824
"14-Jul-2021","EQ","51.55","52.15","50.80","51.25","51.50","51.30","51.56","58.00","31.35",924443,"47,665,508.85",3368
"13-Jul-2021","EQ","53.35","53.40","50.80","52.80","51.40","51.25","52.19","58.00","31.35",1571693,"82,021,332.00",5328
"12-Jul-2021","EQ","53.00","53.80","52.40","52.45","53.35","52.80","53.19","58.00","31.35",1542906,"82,065,515.85",5108
"09-Jul-2021","EQ","52.10","53.30","51.85","52.35","52.35","52.45","52.73","58.00","31.35",1803285,"95,090,248.45",5690
"08-Jul-2021","EQ","52.60","55.25","51.75","52.55","52.45","52.35","53.86","58.00","31.35",6805842,"366,554,125.20",18486
"07-Jul-2021","EQ","49.95","53.25","49.50","49.95","52.70","52.55","51.86","58.00","31.35",4741877,"245,935,876.95",13677
"06-Jul-2021","EQ","51.35","52.20","49.30","51.35","50.10","49.95","51.20","58.00","31.35",1530486,"78,361,483.35",5208
"05-Jul-2021","EQ","51.00","52.25","50.70","50.65","51.25","51.35","51.45","58.00","31.35",1815394,"93,399,229.75",7046
"02-Jul-2021","EQ","51.50","51.95","50.45","50.85","50.60","50.65","51.27","58.00","31.35",2045086,"104,851,932.70",8318
"01-Jul-2021","EQ","50.15","52.60","49.35","50.05","50.90","50.85","51.21","58.00","31.35",3041337,"155,731,940.05",12389
"30-Jun-2021","EQ","50.75","51.65","49.80","50.45","50.00","50.05","50.76","58.00","31.35",1582892,"80,340,203.00",5307
"29-Jun-2021","EQ","48.70","53.00","48.20","48.60","50.55","50.45","50.96","58.00","31.35",5694842,"290,192,328.45",15165
"28-Jun-2021","EQ","49.55","50.50","48.25","49.55","48.60","48.60","49.58","58.00","31.35",1723449,"85,454,952.40",6854
"25-Jun-2021","EQ","51.45","51.80","49.35","51.40","49.70","49.55","50.04","58.00","31.35",2301376,"115,153,709.10",7249
"24-Jun-2021","EQ","53.40","53.75","51.10","53.00","51.30","51.40","52.48","58.00","31.35",1684237,"88,389,623.85",5743
